,要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
33,jpcrp_cor:EquityToAssetRatioIFRSSummaryOfBusinessResults,１株当たり親会社所有者帰属持分（IFRS）、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPYPerShares,,1113.71
34,jpcrp_cor:EquityToAssetRatioIFRSSummaryOfBusinessResults,１株当たり親会社所有者帰属持分（IFRS）、経営指標等,Prior1YearInstant,前期末,その他,時点,JPYPerShares,,986.87
35,jpcrp_cor:EquityToAssetRatioIFRSSummaryOfBusinessResults,１株当たり親会社所有者帰属持分（IFRS）、経営指標等,CurrentYearInstant,当期末,その他,時点,JPYPerShares,,1091.68
36,jpcrp_cor:BasicEarningsLossPerShareIFRSSummaryOfBusinessResults,基本的１株当たり利益又は損失（△）（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPYPerShares,,-6.21
37,jpcrp_cor:BasicEarningsLossPerShareIFRSSummaryOfBusinessResults,基本的１株当たり利益又は損失（△）（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPYPerShares,,-30.75
38,jpcrp_cor:BasicEarningsLossPerShareIFRSSummaryOfBusinessResults,基本的１株当たり利益又は損失（△）（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPYPerShares,,-52.93
39,jpcrp_cor:BasicEarningsLossPerShareIFRSSummaryOfBusinessResults,基本的１株当たり利益又は損失（△）（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,JPYPerShares,,-208.89
40,jpcrp_cor:BasicEarningsLossPerShareIFRSSummaryOfBusinessResults,基本的１株当たり利益又は損失（△）（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,JPYPerShares,,9.15
41,jpcrp_cor:DilutedEarningsLossPerShareIFRSSummaryOfBusinessResults,希薄化後１株当たり利益又は損失（△）（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPYPerShares,,-6.21
42,jpcrp_cor:DilutedEarningsLossPerShareIFRSSummaryOfBusinessResults,希薄化後１株当たり利益又は損失（△）（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPYPerShares,,-30.75
43,jpcrp_cor:DilutedEarningsLossPerShareIFRSSummaryOfBusinessResults,希薄化後１株当たり利益又は損失（△）（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPYPerShares,,-52.93
44,jpcrp_cor:DilutedEarningsLossPerShareIFRSSummaryOfBusinessResults,希薄化後１株当たり利益又は損失（△）（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,JPYPerShares,,-208.89
45,jpcrp_cor:DilutedEarningsLossPerShareIFRSSummaryOfBusinessResults,希薄化後１株当たり利益又は損失（△）（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,JPYPerShares,,9.12
46,jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults,親会社所有者帰属持分比率（IFRS）、経営指標等,Prior4YearInstant,四期前時点,その他,時点,pure,,0.410
47,jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults,親会社所有者帰属持分比率（IFRS）、経営指標等,Prior3YearInstant,三期前時点,その他,時点,pure,,0.415
48,jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults,親会社所有者帰属持分比率（IFRS）、経営指標等,Prior2YearInstant,前々期末,その他,時点,pure,,0.411
49,jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults,親会社所有者帰属持分比率（IFRS）、経営指標等,Prior1YearInstant,前期末,その他,時点,pure,,0.345
50,jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults,親会社所有者帰属持分比率（IFRS）、経営指標等,CurrentYearInstant,当期末,その他,時点,pure,,0.389
51,jpcrp_cor:RateOfReturnOnEquityIFRSSummaryOfBusinessResults,親会社所有者帰属持分利益率（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,pure,,-0.006
52,jpcrp_cor:RateOfReturnOnEquityIFRSSummaryOfBusinessResults,親会社所有者帰属持分利益率（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,pure,,-0.029
53,jpcrp_cor:RateOfReturnOnEquityIFRSSummaryOfBusinessResults,親会社所有者帰属持分利益率（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,pure,,-0.048
54,jpcrp_cor:RateOfReturnOnEquityIFRSSummaryOfBusinessResults,親会社所有者帰属持分利益率（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,pure,,-0.199
55,jpcrp_cor:RateOfReturnOnEquityIFRSSummaryOfBusinessResults,親会社所有者帰属持分利益率（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,pure,,0.009
56,jpcrp_cor:PriceEarningsRatioIFRSSummaryOfBusinessResults,株価収益率（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,pure,,－
57,jpcrp_cor:PriceEarningsRatioIFRSSummaryOfBusinessResults,株価収益率（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,pure,,－
58,jpcrp_cor:PriceEarningsRatioIFRSSummaryOfBusinessResults,株価収益率（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,pure,,－
59,jpcrp_cor:PriceEarningsRatioIFRSSummaryOfBusinessResults,株価収益率（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,pure,,－
60,jpcrp_cor:PriceEarningsRatioIFRSSummaryOfBusinessResults,株価収益率（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,pure,,54.3
61,jpcrp_cor:CashFlowsFromUsedInOperatingActivitiesIFRSSummaryOfBusinessResults,営業活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,30148000000
62,jpcrp_cor:CashFlowsFromUsedInOperatingActivitiesIFRSSummaryOfBusinessResults,営業活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,78060000000
63,jpcrp_cor:CashFlowsFromUsedInOperatingActivitiesIFRSSummaryOfBusinessResults,営業活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,37438000000
64,jpcrp_cor:CashFlowsFromUsedInOperatingActivitiesIFRSSummaryOfBusinessResults,営業活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,13319000000
65,jpcrp_cor:CashFlowsFromUsedInOperatingActivitiesIFRSSummaryOfBusinessResults,営業活動によるキャッシュ・フロー（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,83338000000
66,jpcrp_cor:CashFlowsFromUsedInInvestingActivitiesIFRSSummaryOfBusinessResults,投資活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,-50043000000
67,jpcrp_cor:CashFlowsFromUsedInInvestingActivitiesIFRSSummaryOfBusinessResults,投資活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,-34330000000
68,jpcrp_cor:CashFlowsFromUsedInInvestingActivitiesIFRSSummaryOfBusinessResults,投資活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,-50999000000
69,jpcrp_cor:CashFlowsFromUsedInInvestingActivitiesIFRSSummaryOfBusinessResults,投資活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,-37498000000
70,jpcrp_cor:CashFlowsFromUsedInInvestingActivitiesIFRSSummaryOfBusinessResults,投資活動によるキャッシュ・フロー（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,-44534000000
71,jpcrp_cor:CashFlowsFromUsedInFinancingActivitiesIFRSSummaryOfBusinessResults,財務活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,-11910000000
72,jpcrp_cor:CashFlowsFromUsedInFinancingActivitiesIFRSSummaryOfBusinessResults,財務活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,-13085000000
73,jpcrp_cor:CashFlowsFromUsedInFinancingActivitiesIFRSSummaryOfBusinessResults,財務活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,2125000000
74,jpcrp_cor:CashFlowsFromUsedInFinancingActivitiesIFRSSummaryOfBusinessResults,財務活動によるキャッシュ・フロー（IFRS）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,84321000000
75,jpcrp_cor:CashFlowsFromUsedInFinancingActivitiesIFRSSummaryOfBusinessResults,財務活動によるキャッシュ・フロー（IFRS）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,-96853000000
76,jpcrp_cor:CashAndCashEquivalentsIFRSSummaryOfBusinessResults,現金及び現金同等物（IFRS）、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPY,円,89901000000
77,jpcrp_cor:CashAndCashEquivalentsIFRSSummaryOfBusinessResults,現金及び現金同等物（IFRS）、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPY,円,123823000000
78,jpcrp_cor:CashAndCashEquivalentsIFRSSummaryOfBusinessResults,現金及び現金同等物（IFRS）、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPY,円,117670000000
79,jpcrp_cor:CashAndCashEquivalentsIFRSSummaryOfBusinessResults,現金及び現金同等物（IFRS）、経営指標等,Prior1YearInstant,前期末,その他,時点,JPY,円,180574000000
80,jpcrp_cor:CashAndCashEquivalentsIFRSSummaryOfBusinessResults,現金及び現金同等物（IFRS）、経営指標等,CurrentYearInstant,当期末,その他,時点,JPY,円,129631000000
81,jpcrp_cor:NumberOfEmployees,従業員数,Prior4YearInstant,四期前時点,その他,時点,pure,,43961
82,jpcrp_cor:NumberOfEmployees,従業員数,Prior3YearInstant,三期前時点,その他,時点,pure,,40979
83,jpcrp_cor:NumberOfEmployees,従業員数,Prior2YearInstant,前々期末,その他,時点,pure,,39121
84,jpcrp_cor:NumberOfEmployees,従業員数,Prior1YearInstant,前期末,その他,時点,pure,,39775
85,jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant,当期末,その他,時点,pure,,40015
86,jpcrp_cor:NetSalesSummaryOfBusinessResults,売上高、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPY,円,430914000000
87,jpcrp_cor:NetSalesSummaryOfBusinessResults,売上高、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPY,円,344321000000
88,jpcrp_cor:NetSalesSummaryOfBusinessResults,売上高、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPY,円,373208000000
89,jpcrp_cor:NetSalesSummaryOfBusinessResults,売上高、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPY,円,467328000000
90,jpcrp_cor:NetSalesSummaryOfBusinessResults,売上高、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPY,円,425064000000
91,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPY,円,12545000000
92,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPY,円,10109000000
93,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPY,円,16338000000
94,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPY,円,9059000000
95,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPY,円,8413000000
96,jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPY,円,12100000000
97,jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPY,円,16539000000
98,jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPY,円,14476000000
99,jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPY,円,1570000000
100,jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPY,円,-4237000000
101,jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,JPY,円,37519000000
102,jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,JPY,円,37519000000
103,jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,JPY,円,37519000000
104,jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,JPY,円,37519000000
105,jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,37519000000
106,jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,shares,,502664000
107,jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,shares,,502664000
108,jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,shares,,502664000
109,jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,shares,,502664000
110,jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,shares,,502664000
111,jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,JPY,円,329468000000
112,jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,JPY,円,333938000000
113,jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,JPY,円,332587000000
114,jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,JPY,円,319565000000
115,jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,312823000000
116,jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,JPY,円,751295000000
117,jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,JPY,円,769628000000
118,jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,JPY,円,802673000000
119,jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,JPY,円,943851000000
120,jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,894908000000
121,jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior4YearInstant_NonConsolidatedMember,四期前時点,その他,時点,JPYPerShares,,664.25
122,jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior3YearInstant_NonConsolidatedMember,三期前時点,その他,時点,JPYPerShares,,675.54
123,jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior2YearInstant_NonConsolidatedMember,前々期末,その他,時点,JPYPerShares,,672.76
124,jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior1YearInstant_NonConsolidatedMember,前期末,その他,時点,JPYPerShares,,646.14
125,jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPYPerShares,,632.12
126,jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPYPerShares,,25.00
127,jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPYPerShares,,25.00
128,jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPYPerShares,,30.00
129,jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPYPerShares,,10.00
130,jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,5.00
131,jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPYPerShares,,15.00
132,jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPYPerShares,,10.00
133,jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPYPerShares,,15.00
134,jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPYPerShares,,10.00
135,jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,－
136,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPYPerShares,,24.45
137,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPYPerShares,,33.43
138,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPYPerShares,,29.33
139,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPYPerShares,,3.18
140,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,-8.57
141,jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior4YearDuration_NonConsolidatedMember,四期前,その他,期間,JPYPerShares,,24.38
142,jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior3YearDuration_NonConsolidatedMember,三期前,その他,期間,JPYPerShares,,33.34
143,jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior2YearDuration_NonConsolidatedMember,前々期,その他,期間,JPYPerShares,,29.23
144,jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior1YearDuration_NonConsolidatedMember,前期,その他,期間,JPYPerShares,,3.17
